iter	Passed	Remaining
0	0	482
1	1	460
2	2	459
3	4	511
4	5	559
5	6	527
6	7	499
7	7	474
8	8	457
9	9	444
10	9	433
11	10	425
12	11	417
13	11	413
14	12	409
15	13	407
16	14	413
17	15	410
18	16	411
19	17	414
20	18	417
