iter	Logloss
0	0.6653587185
1	0.639029596
2	0.6140714288
3	0.5904321969
4	0.5680233687
5	0.5467900485
6	0.526658237
7	0.5075678527
8	0.4894518852
9	0.4722496569
10	0.4559066296
11	0.440367952
12	0.4255761355
13	0.411482513
14	0.398096323
15	0.3853656352
16	0.3732238859
17	0.3616377562
18	0.350585565
19	0.340036571
20	0.3299720734
